term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_ru,examples_zh-Hans,examples_zh-Hant
reportedWeather,Reported Weather,Nahlášené počasí,,,Conditions Météorologiques Rapportées,,,,,,A list of weather or climatic conditions present during the dwc:Event.,"Seznam povětrnostních nebo klimatických podmínek, které se vyskytly během dwc:Event.",,,Liste des conditions météorologiques ou climatiques présentes lors du dwc:Event.,,,,,,Recommended best practice is to use a key:value encoding schema for a data interchange format such as JSON.,"Doporučeným osvědčeným postupem je použití schématu kódování klíč:hodnota pro formát výměny dat, jako je JSON.",,,La pratique optimale recommandée est d'utiliser un schéma d'encodage clé:valeur pour un format d'échange de données tel que JSON.,,,,,,,,,,,,,,,
samplingEffortProtocol,Sampling Effort Protocol,Protokol vzorkovacího úsilí,,,Protocole du Taux d'Échantillonnage,,,,,,A description of or reference (publication or URL) to the methods used to determine the sampling effort.,Popis nebo odkaz (publikace nebo URL) na metody použité k určení intenzity odběru vzorků.,,,Description ou référence (publication ou URL) des méthodes utilisées pour déterminer le taux d'échantillonnage.,,,,,,"This description should be associated with the values reported in eco:samplingEffortValue and eco:samplingEffortUnit. This is a specialization of eco:protocolDescriptions focused on effort, distinct from the survey method. The effort relates to the intensity of sampling and therefore can assist in interpreting estimates of completeness. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",,,"Esta descripción debe asociarse con los valores reportados en eco:samplingEffortValue y eco:samplingEffortUnit. Esta es una especialización de eco:protocolDescriptions centrada en el esfuerzo, distinta del método de encuesta. El esfuerzo se relaciona con la intensidad del muestreo y, por lo tanto, puede ayudar a interpretar las estimaciones de completitud. Este término tiene un equivalente en el espacio de nombres dwciri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena.",,,,,,,,,,,,,,,,
samplingEffortUnit,Sampling Effort Unit,Jednotka sběru vzorků,,,,,,,,,The units associated with the eco:samplingEffortValue.,Jednotky spojené s eco:samplingEffortValue.,,,,,,,,,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným osvědčeným postupem je používat řízený slovník. Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé. Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
samplingEffortValue,Sampling Effort Value,Hodnota sběru vzorků,,,,,,,,,The numeric value for the sampling effort expended during the dwc:Event.,Číselná hodnota úsilí vynaloženého na odběr vzorků během dwc:Event.,,,,,,,,,This term is meant to capture the total sampling effort value. To express details of how the effort was determined use eco:samplingEffortProtocol. For compilations it is recommend not to infer effort. An eco:samplingEffortValue must have a corresponding eco:samplingEffortUnit.,"Tento termín má zachytit celkovou hodnotu úsilí při sběru vzorků. Pro vyjádření podrobností o tom, jak bylo úsilí určeno, použijte eco:samplingEffortProtocol. U kompilací se doporučuje neodvozovat úsilí. Hodnota eco:samplingEffortValue musí mít odpovídající eco:samplingEffortUnit.",,,,,,,,,,,,,,,,,,
samplingPerformedBy,Sampling Performed By,Sběr vzorků provedl,,,Échantillonnage Réalisé Par,,,,,,"A person, group, or organization responsible for recording the dwc:Event.","Osoba, skupina nebo organizace odpovědná za záznam dwc:Event.",,,"Une personne, un groupe ou une organisation responsable de l'enregistrement du dwc:Event.",,,,,,"The sampling dwc:Event could be at any level of hierarchy. In the case of a higher level (parent) dwc:Event, include all the organizations or people involved in the child dwc:Events that contributed to the parent dwc:Event. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Vzorkování dwc:Event může být na libovolné úrovni hierarchie. V případě vyšší úrovně (nadřazené) dwc:Event zahrňte všechny organizace nebo osoby zapojené do podřízených dwc:Eventů, které přispěly k nadřazenému dwc:Eventu. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,"Le dwc:Event d'échantillonnage peut se situer à n'importe quel niveau de la hiérarchie. Dans le cas d'un dwc:Event de niveau supérieur (parent), incluez toutes les organisations ou personnes impliquées dans les dwc:Events enfants qui ont contribué au dwc:Event parent. La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
siteCount,Site Count,Počet lokalit,,,Nombre de Sites,,,,,,Total number of individual sites surveyed during the dwc:Event.,Celkový počet jednotlivých lokalit zkoumaných během akce dwc:Event.,,,Nombre total de sites individuels étudiés au cours du dwc:Event.,,,,,,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy.,"Místem se rozumí místo, kde se provádějí pozorování nebo odebírají vzorky/měření. Místo může být na jakékoli úrovni hierarchie.",,,Le site fait référence à l'endroit où les observations sont faites ou les échantillons/mesures sont prélevés. Le site peut se situer à n'importe quel niveau de la hiérarchie.,,,,,,,,,,,,,,,
siteNestingDescription,Site Nesting Description,Popis místa hnízdění,,,,,,,,,Textual description of the hierarchical sampling design.,Textový popis hierarchického výběru vzorků.,,,,,,,,,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy.,"Místem se rozumí místo, kde se provádějí pozorování nebo odebírají vzorky/měření. Místo může být na jakékoli úrovni hierarchie.",,,Le site fait référence à l'endroit où les observations sont faites ou les échantillons/mesures sont prélevés. Le site peut se situer à n'importe quel niveau de la hiérarchie.,,,,,,,,,,,,,,,
targetDegreeOfEstablishmentScope,Target Degree of Establishment Scope,Cílový stupeň rozsahu zavedení,,,,,,,,,The degrees of establishment of the dwc:Organisms targeted for sampling during the dwc:Event.,Stupně zavedení dwc:Organisms zaměřené na odběr vzorků během dwc:Event.,,,,,,,,,"Recommended best practice is to use controlled value strings from the controlled vocabulary (http://rs.tdwg.org/dwcdoe/) for dwc:degreeOfEstablishment. For details, refer to https://doi.org/10.3897/biss.3.38084. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným osvědčeným postupem je používat pro dwc:degreeOfEstablishment řetězce řízených hodnot z řízeného slovníku (http://rs.tdwg.org/dwcdoe/). Podrobnosti naleznete na https://doi.org/10.3897/biss.3.38084. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée consiste à utiliser les chaînes de caractères du vocabulaire contrôlé correspondant (http://rs.tdwg.org/dwcdoe/) pour dwc:degreeOfEstablishment. Pour plus de détails, voir https://doi.org/10.3897/biss.3.38084. La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
targetGrowthFormScope,Target Growth Form Scope,Rozsah formy cílového růstu,,,,,,,,,The growth forms or habits of the dwc:Organisms targeted for sampling during the dwc:Event.,Růstové formy nebo zvyklosti dwc:Organisms zaměřené na odběr vzorků během dwc:Event.,,,,,,,,,"Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je používat řízený slovník a oddělovat více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé et de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
targetHabitatScope,Target Habitat Scope,Cílový rozsah stanoviště,,,,,,,,,The habitats targeted for sampling during the dwc:Event.,Stanoviště zaměřená na odběr vzorků během akce dwc:Event.,,,Les habitats ciblés pour échantillonnage pendant le dwc:Event.,,,,,,"Recommended best practice is to use a controlled vocabulary and separate the values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je používat řízený slovník a hodnoty v seznamu oddělovat mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé et de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
targetLifeStageScope,Target Life Stage Scope,Rozsah cílových životních fází,,,Champ d'Application du Stade de Vie Cible,,,,,,The age classes or life stages of the dwc:Organisms targeted for sampling during the dwc:Event.,Věkové třídy nebo životní stadia dwc:Organisms zaměřené na odběr vzorků během dwc:Event.,,,Les classes d'âge ou les stades de vie des dwc:Organisms ciblés pour l'échantillonnage pendant le dwc:Event.,,,,,,"This term is defined based on dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Recommended best practice is to use the same controlled vocabulary as for dwc:lifeStage and to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín je definován na základě dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Doporučeným osvědčeným postupem je používat stejný řízený slovník jako pro dwc:lifeStage a oddělovat více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,"Ce terme est défini sur la base de dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). La pratique optimale recommandée est d'utiliser le même vocabulaire contrôlé que pour dwc:lifeStage et de séparer les différentes valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
targetTaxonomicScope,Target Taxonomic Scope,Rozsah cílové taxonomie,,,Champ Taxonomique Cible,,,,,,The taxonomic group(s) targeted for sampling during the dwc:Event.,"Taxonomická skupina (skupiny), na kterou je zaměřen sdběr vzorků během dwc:Event.",,,Le(s) groupe(s) taxonomique(s) ciblé(s) pour échantillonnage pendant le dwc:Event.,,,,,,"The dwc:Event to which the eco:targetTaxonomicScope refers could be at any level of hierarchy. In the case of a higher level (parent) dwc:Event, include all taxonomic groups surveyed in the child dwc:Events that contributed to the parent dwc:Event. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).","Událost dwc:Event, na kterou odkazuje eco:targetTaxonomicScope, může být na libovolné úrovni hierarchie. V případě vyšší úrovně (nadřazené) dwc:Event zahrňte všechny taxonomické skupiny sledované v podřízených dwc:Events, které přispěly k nadřazené dwc:Event. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ).",,,,,,,,,,,,,,,,,,
taxonCompletenessProtocols,Taxon Completeness Protocols,Protokoly o úplnosti taxonů,,,Protocoles de Complétude Taxonomique,,,,,,"A description of or reference (publication, URL) to the methods used to determine eco:taxonCompletenessReported.","Popis nebo odkaz (publikace, URL) na metody použité k určení eco:taxonCompletenessReported.",,,"Une description ou une référence (publication, URL) aux méthodes utilisées pour déterminer le contenu de eco:taxonCompletenessReported.",,,,,,"This term allows users to determine how comprehensively an area has been sampled. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín umožňuje uživatelům určit, jak komplexně byla oblast vzorkována. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,"Ce terme permet aux utilisateurs de déterminer le degré d'exhaustivité de l'échantillonnage d'une zone. La pratique optimale recommandée est de séparer les différentes valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
taxonCompletenessReported,Taxon Completeness Reported,Nahlášená úplnost taxonů,,,,,,,,,Statement about whether the taxonomic completeness of the dwc:Event was assessed.,"Prohlášení o tom, zda byla posouzena taxonomická úplnost dwc:Event.",,,Déclaration indiquant si l'exhaustivité taxonomique du dwc:Event a été évaluée.,,,,,,"This term is meant to alert users that the inventory was conducted in such a way that all of the target taxa (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope) should have been detectable if they were present during the dwc:Event. This term can provide data users with a qualitative measure of how comprehensively an area has been surveyed, which assists in interpreting species populations, areas of occupancy, inferring species absences, etc. This term is only relevant if the dwc:Event used restricted search or open search methods. If taxonomic completeness was assessed, the methods used or an explanation of the basis of the completeness should be stated in eco:taxonCompletenessProtocols. Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/tcr/. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín má uživatele upozornit, že inventarizace byla provedena takovým způsobem, že všechny cílové taxony (kombinace eco:targetTaxonomicScope a eco:excludedTaxonomicScope) by měly být zjistitelné, pokud se během dwc:Event vyskytovaly. Tento termín může uživatelům dat poskytnout kvalitativní měřítko toho, jak komplexně byla oblast zkoumána, což pomáhá při interpretaci populací druhů, oblastí výskytu, odvozování nepřítomnosti druhů atd. Tento termín je relevantní pouze v případě, že při dwc:Event byly použity metody omezeného vyhledávání nebo otevřeného vyhledávání. Pokud byla hodnocena taxonomická úplnost, měly by být v eco:taxonCompletenessProtocols uvedeny použité metody nebo vysvětlení základu úplnosti. Doporučeným osvědčeným postupem je použití řetězců řízených hodnot z řízeného slovníku určeného pro použití s tímto termínem, uvedených na http://rs.tdwg.org/dwc/doc/tcr/. Tento termín má ekvivalent ve jmenném prostoru dwciri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,,,,,,,,,,,,,,,,
totalAreaSampledUnit,Total Area Sampled Unit,Jednotka celkové vzorkované plochy,,,Unité de la Surface Totale Inventoriée,,,,,,The units associated with eco:totalAreaSampledValue,Jednotky spojené s eco:totalAreaSampledValue,,,Les unités associées à eco:totalAreaSampledValue,,,,,,"Recommended best practice is to use a controlled vocabulary. For units containing exponents, use characters from the Unicode Latin-1 Supplement character set (hex 00B2 for squared and 00B3 for cubed). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným osvědčeným postupem je používat řízený slovník. Pro jednotky obsahující exponenty používejte znaky z doplňkové znakové sady Unicode Latin-1 (hex 00B2 pro čtverec a 00B3 pro kostku). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé. Pour les unités contenant des exposants, utilisez les caractères du jeu de caractères Unicode Latin-1 Supplement (hex 00B2 pour la mise au carré et 00B3 pour la mise au cube). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
totalAreaSampledValue,Total Area Sampled Value,Hodnota celkové vzorkované plochy,,,Valeur de la Surface Totale Inventoriée,,,,,,The numeric value for the total area surveyed during the dwc:Event.,Číselná hodnota celkové plochy zkoumané během dwc:Event.,,,Valeur numérique de la surface totale inventoriée au cours du dwc:Event.,,,,,,This area is always less than or equal to the eco:geospatialScopeAreaValue. An eco:totalAreaSampledValue must have a corresponding eco:totalAreaSampledUnit.,Tato oblast je vždy menší nebo rovna hodnotě eco:geospatialScopeAreaValue. Hodnota eco:totalAreaSampledValue musí mít odpovídající eco:totalAreaSampledUnit.,,,Cette surface est toujours inférieure ou égale à eco:geospatialScopeAreaValue. Une eco:totalAreaSampledValue doit avoir une eco:totalAreaSampledUnit correspondante.,,,,,,,,,,,,,,,
verbatimSiteDescriptions,Verbatim Site Descriptions,Přesné popisy lokalit,,,,,,,,,Original textual description of the site(s).,Původní textový popis lokality (lokalit).,,,Description textuelle originale des sites.,,,,,,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,"Místem se rozumí místo, kde se provádějí pozorování nebo odebírají vzorky/měření. Místo může být na jakékoli úrovni hierarchie. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ).",,,Le site fait référence à l'endroit où les observations sont faites ou les échantillons/mesures sont prélevés. Le site peut se situer à n'importe quel niveau de la hiérarchie. La pratique optimale recommandée est de séparer les valeurs multiples dans une liste par un barre verticale ( | ).,,,,,,,,,,,,,,,
verbatimSiteNames,Verbatim Site Names,Přesné názvy lokalit,,,Noms des Sites Verbatim,,,,,,A list (concatenated and separated) of original site names.,Seznam (spojený a oddělený) původních názvů lokalit.,,,Une liste (concaténée et séparée) de noms originaux des sites.,,,,,,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,"Místem se rozumí místo, kde se provádějí pozorování nebo odebírají vzorky/měření. Místo může být na jakékoli úrovni hierarchie. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ).",,,Le site fait référence à l'endroit où les observations sont faites ou les échantillons/mesures sont prélevés. Le site peut se situer à n'importe quel niveau de la hiérarchie. La pratique optimale recommandée est de séparer les valeurs multiples dans une liste par un barre verticale ( | ).,,,,,,,,,,,,,,,
verbatimTargetScope,Verbatim Target Scope,Přesný Cílový rozsah,,,,,,,,,The verbatim original description of the dwc:Event scope.,Přesný původní popis rozsahu dwc:Event.,,,La description verbatim originale du champ d'application du dwc:Event.,,,,,,"Recommended best practice is first to populate explicit scope terms to the fullest extent possible (e.g., eco:targetTaxonomicScope). It is not recommended to use this term in assessing absence or completeness.",Doporučeným osvědčeným postupem je nejprve v co největší míře vyplnit explicitní termíny oboru (např. eco:targetTaxonomicScope). Nedoporučuje se používat tento termín při posuzování absence nebo úplnosti.,,,"La pratique optimale recommandée consiste à remplir d'abord les termes explicites du champ d'application dans toute la mesure du possible (par exemple, eco:targetTaxonomicScope). Il n'est pas recommandé d'utiliser ce terme pour évaluer l'absence ou l'exhaustivité.",,,,,,,,,,,,,,,
voucherInstitutions,Voucher Institutions,Poukazové instituce,,,Institutions des Spécimens,,,,,,A list (concatenated and separated) of the names or acronyms of the institutions where vouchers collected during the dwc:Event were deposited.,"Seznam (spojený a oddělený) názvů nebo zkratek institucí, u nichž byly uloženy poukázky shromážděné během dwc:Event.",,,Une liste (concaténée et séparée) des noms ou acronymes des institutions où les échantillons collectés pendant le dwc:Event ont été déposés.,,,,,,Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,Doporučeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ).,,,La pratique optimale recommandée consiste à séparer les différentes valeurs d'une liste par une barre verticale ( | ).,,,,,,,,,,,,,,,
